customer_id,date,region,department,ad_spend,revenue,profit,units,rating,subscribed
CUST_00001,2024-01-01 00:00:00.000000,South,Sports,4855.73,33200.75,7206.04,42,3.0,False
CUST_00002,2024-01-03 04:39:55.190380,East,Clothing,6692.03,50735.93,18161.98,40,3.0,False
CUST_00003,2024-01-05 09:19:50.380761,North,Clothing,1578.89,23400.49,-7930.19,18,2.0,True
CUST_00004,2024-01-07 13:59:45.571142,South,Sports,2755.04,28977.96,6473.56,44,2.0,True
CUST_00005,2024-01-09 18:39:40.761523,West,Electronics,3615.67,30018.2,1305.63,39,2.0,True
CUST_00006,2024-01-11 23:19:35.951903,North,Sports,7191.77,46461.83,5768.16,47,4.0,False
CUST_00007,2024-01-14 03:59:31.142284,South,Sports,5423.88,39429.09,763.58,32,3.0,True
CUST_00008,2024-01-16 08:39:26.332665,South,Clothing,6150.98,,5261.77,32,3.0,True
CUST_00009,2024-01-18 13:19:21.523046,West,Clothing,3289.76,36076.74,19382.6,37,5.0,False
CUST_00010,2024-01-20 17:59:16.713426,East,Clothing,3320.7,33748.72,-2776.24,34,,False
CUST_00011,2024-01-22 22:39:11.903807,East,Home,5671.72,37589.12,-1421.23,37,3.0,True
CUST_00012,2024-01-25 03:19:07.094188,North,Sports,5087.41,29900.8,-3731.4,30,2.0,True
CUST_00013,2024-01-27 07:59:02.284569,South,Electronics,5823.11,31551.79,17771.25,30,1.0,True
CUST_00014,2024-01-29 12:38:57.474949,North,Home,4718.49,34501.5,2973.89,23,4.0,True
CUST_00015,2024-01-31 17:18:52.665330,East,Clothing,5417.22,41013.91,7203.03,37,2.0,True
CUST_00016,2024-02-02 21:58:47.855711,West,Sports,5237.18,37211.09,3878.51,45,2.0,False
CUST_00017,2024-02-05 02:38:43.046092,South,Home,6166.65,39039.53,416.16,28,3.0,False
CUST_00018,2024-02-07 07:18:38.236472,West,Home,6210.51,47949.73,6984.9,46,3.0,True
CUST_00019,2024-02-09 11:58:33.426853,North,Electronics,2570.19,28641.72,22363.22,22,2.0,False
CUST_00020,2024-02-11 16:38:28.617234,South,Electronics,1629.1,28560.79,14885.44,29,2.0,True
CUST_00021,2024-02-13 21:18:23.807615,South,Electronics,6502.62,46695.38,2434.6,44,4.0,True
CUST_00022,2024-02-16 01:58:18.997995,East,Electronics,6781.59,39934.89,11721.3,52,2.0,False
CUST_00023,2024-02-18 06:38:14.188376,North,Sports,3469.07,37624.19,951.7,42,2.0,True
CUST_00024,2024-02-20 11:18:09.378757,North,Sports,2210.25,21531.11,-8558.97,11,3.0,True
CUST_00025,2024-02-22 15:58:04.569138,South,Sports,5148.55,40178.57,14368.72,46,,True
CUST_00026,2024-02-24 20:37:59.759519,West,Electronics,6396.26,46299.96,16454.64,40,3.0,True
CUST_00027,2024-02-27 01:17:54.949899,East,Electronics,7696.39,46614.82,15713.03,42,2.0,True
CUST_00028,2024-02-29 05:57:50.140280,West,Home,5774.45,34464.3,2914.52,37,2.0,False
CUST_00029,2024-03-02 10:37:45.330661,West,Clothing,4442.42,37331.88,5552.31,33,3.0,False
CUST_00030,2024-03-04 15:17:40.521042,South,Home,3660.3,21279.3,9078.63,28,3.0,False
CUST_00031,2024-03-06 19:57:35.711422,South,Home,5017.18,39355.2,9824.41,33,2.0,False
CUST_00032,2024-03-09 00:37:30.901803,North,Electronics,4551.1,41253.38,4670.15,36,3.0,True
CUST_00033,2024-03-11 05:17:26.092184,East,Clothing,3477.4,27905.04,-6310.6,23,3.0,False
CUST_00034,2024-03-13 09:57:21.282565,East,Home,8073.13,51797.39,10120.66,47,1.0,True
CUST_00035,2024-03-15 14:37:16.472945,East,Electronics,7677.75,45094.05,15670.0,54,4.0,True
CUST_00036,2024-03-17 19:17:11.663326,West,Clothing,6704.07,44198.87,-427.32,49,2.0,False
CUST_00037,2024-03-19 23:57:06.853707,West,Sports,3618.72,38887.37,11471.04,53,3.0,True
CUST_00038,2024-03-22 04:37:02.044088,East,Electronics,6282.53,42992.42,10059.43,61,3.0,True
CUST_00039,2024-03-24 09:16:57.234468,West,Home,5959.44,53106.0,14810.12,45,5.0,True
CUST_00040,2024-03-26 13:56:52.424849,South,Sports,5663.82,34829.11,12373.07,35,3.0,True
CUST_00041,2024-03-28 18:36:47.615230,East,Clothing,6874.5,50594.67,4245.78,41,1.0,True
CUST_00042,2024-03-30 23:16:42.805611,North,Sports,5953.06,39914.29,-4134.14,34,2.0,True
CUST_00043,2024-04-02 03:56:37.995991,South,Home,6110.02,43048.98,4014.18,38,3.0,False
CUST_00044,2024-04-04 08:36:33.186372,East,Home,5955.36,39730.65,13375.41,31,3.0,True
CUST_00045,2024-04-06 13:16:28.376753,North,Clothing,5511.19,37456.95,2948.22,29,3.0,True
CUST_00046,2024-04-08 17:56:23.567134,North,Electronics,2324.58,24395.84,-467.05,23,3.0,True
CUST_00047,2024-04-10 22:36:18.757515,East,Electronics,5125.43,34511.44,-6537.39,25,3.0,False
CUST_00048,2024-04-13 03:16:13.947895,West,Clothing,4165.71,40678.26,19590.62,47,3.0,True
CUST_00049,2024-04-15 07:56:09.138276,South,Clothing,3080.24,30292.2,11232.59,23,1.0,True
CUST_00050,2024-04-17 12:36:04.328657,West,Electronics,7522.72,53793.67,15072.13,76,3.0,True
CUST_00051,2024-04-19 17:15:59.519038,West,Clothing,7593.49,58808.8,17359.66,55,4.0,False
CUST_00052,2024-04-21 21:55:54.709418,West,Home,7038.83,56167.05,14147.03,57,3.0,False
CUST_00053,2024-04-24 02:35:49.899799,South,Clothing,5382.82,34436.56,4488.28,24,3.0,True
